id,title,authors,year,venue,doi_or_url,theme,notes
254,A record year for pro-housing reforms: 2025 in review,"George W. Bush Presidential Center",2025,Bush Center Publication,https://www.bushcenter.org/publications/a-record-year-for-pro-housing-reforms-2025-in-review,policy-review,2025 state-level reform retrospective
255,Unlocking Housing Supply: Federal Tools to Support State Reforms Without Federal Overreach,"AEI Housing Center",2024,AEI Testimony,https://www.aei.org/research-products/testimony/unlocking-housing-supply-federal-tools-to-support-state-reforms-without-federal-overreach/,policy-review,AEI federal-level testimony on housing
256,AEI Housing Center Main Page,"AEI Housing Center",2024,AEI Center Page,https://www.aei.org/centers/housing-center/,reference,AEI housing center hub
257,Housing Supply Case Studies,"AEI Housing Center",2024,AEI Case Studies,https://www.aei.org/housing-supply-case-studies/,reference,City-level supply case studies
258,Austin's Simple Fix for Soaring Housing Costs,"Texas Public Policy Foundation",2024,TPPF Commentary,https://www.texaspolicy.com/austins-simple-fix-for-soaring-housing-costs/,news-austin,TPPF commentary on HOME initiative
259,Can Austin's Housing Reforms Deliver Long-Term Affordability?,"Propmodo",2024,Industry Commentary,https://propmodo.com/can-austins-housing-reforms-deliver-long-term-affordability/,news-austin,Industry analysis of HOME effects
260,Austin housing reforms could influence Michigan legislation,"HousingWire",2024,HousingWire Article,https://www.housingwire.com/articles/michigan-austin-housing-reforms/,news-austin,Cross-state influence analysis of Austin reforms
261,Breaking Down What the HOME Initiative's Passing Means for Austin,"Austin Chronicle",2023,Austin Chronicle,https://www.austinchronicle.com/news/breaking-down-what-the-home-initiatives-passing-means-for-austin-12945169/,news-austin,Local press coverage of HOME initiative passage
262,Housing Reform in the States: A Menu of Options Series Landing,"Mercatus Center",2023,Mercatus Center Series,https://www.mercatus.org/research/policy-briefs/housing-reform-states-menu-options,policy-states,Series landing page for state-menu reforms
263,Housing Reform in the States 2023,"Furth S.",2023,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/housing-reform-states-menu-options-2023,policy-states,First of the annual menu-of-options series
264,Building Blocks: State and Local Opportunities to Increase Housing Supply,"JPMorganChase Institute",2023,JPMorganChase Report,https://www.jpmorganchase.com/content/dam/jpmorganchase/documents/impact/state-and-local-housing-brief.pdf,policy-review,Private-sector analysis of state and local reforms
265,Most Western States Have Eased Zoning Rules to Promote Housing,"Governing",2025,Governing Article,https://www.governing.com/urban/most-western-states-have-eased-zoning-rules-to-promote-housing,news,Survey of Western US zoning reform
266,Land Use Permitting and Building Code Reform,"National Housing Crisis Task Force",2025,NHCTF Report,https://nationalhousingcrisis.org/app/uploads/2025/03/Land-Use-Permitting-Reform.pdf,policy-review,National Housing Crisis Task Force reform recommendations
267,Ben Metcalf Biography,"National Housing Crisis Task Force",2024,NHCTF,https://nationalhousingcrisis.org/people/ben-metcalf/,reference,Ben Metcalf profile
268,The Insufficiency of Local Housing Solutions,"Demsas J.",2024,The Atlantic,https://www.theatlantic.com/ideas/archive/2024/09/housing-crisis-local-solutions/,news-commentary,Atlantic commentary on local-only reforms
269,Annual JCHS Report Finds Housing Affordability Challenges Persist,"NCSHA",2025,NCSHA Blog,https://www.ncsha.org/blog/annual-jchs-report-finds-housing-affordability-challenges-persist-issues-strong-call-for-action/,news,Summary of JCHS 2025 report
270,No more CEQA for most urban housing development in California,"CalMatters",2025,CalMatters News,https://calmatters.org/housing/2025/06/ceqa-urban-development-infill-budget/,news-california,2025 CEQA infill-exemption reform
271,Two New Laws Authorize Multifamily Residential on Commercial Property,"Meyers Nave",2022,Legal Alert,https://www.meyersnave.com/two-new-laws-authorize-multifamily-residential-on-commercial-property/,legal-california,Summary of AB 2011 and SB 6
272,California Legislature Creates Pathways for Residential Development on Commercially Zoned Land,"Holland and Knight",2022,Insights,https://www.hklaw.com/en/insights/publications/2022/09/california-legislature-creates-pathways-for-residential-development,legal-california,Analysis of AB 2011 pathway
273,Governor Signs Important New Housing Legislation Allowing Residential Development on Commercial Properties,"Cox Castle and Nicholson",2022,Publication,https://www.coxcastle.com/publication-governor-signs-new-housing-legislation-allowing-residential-development-on-commercial-properties,legal-california,AB 2011 signing analysis
274,SB 35 Affordable Housing Streamlining Act Information,"City of Alhambra",2022,City Reference,https://www.alhambraca.gov/300/SB35---Affordable-Housing--Streamlining-,reference-legal,Municipal-level SB 35 guidance
275,SB 35 Guidelines Update Final,"California HCD",2021,HCD Final Guidelines,https://www.hcd.ca.gov/policy-research/docs/sb-35-guidelines-update-final.pdf,reference-legal,HCD final SB 35 implementation guidelines
276,SB 423 SF City Attorney Public Memo,"SF City Attorney",2023,SF City Attorney Memo,https://www.sfcityattorney.org/wp-content/uploads/2023/11/2023.11.08-SB-423-Public-Memo.pdf,reference-legal,SB 423 official interpretation by SF City Attorney
277,SB 423 Modifications to Streamlined Ministerial Approval Process,"SANDAG",2024,SANDAG Briefing,https://www.sandag.org/projects-and-programs/regional-initiatives/housing-and-land-use/housing-acceleration-program/-/media/537EEFED1BB14B159F9359FE7F501BC4.ashx,reference-legal,SANDAG briefing on SB 423 implementation
278,Senate Bill 423 (SB 423) City of Gilroy,"City of Gilroy",2024,City Reference,https://www.cityofgilroy.org/988/Senate-Bill-423-SB-423,reference-legal,Municipal SB 423 guidance
279,Statutory Determinations for Limiting Jurisdictions' Abilities to Restrict Development,"California HCD",2024,HCD Statutory Determinations,https://www.hcd.ca.gov/planning-and-community-development/statutory-determinations,reference-legal,Current HCD determinations on jurisdictions
280,Christopher S. Elmendorf Biography,"UC Davis School of Law",2024,UC Davis,https://law.ucdavis.edu/people/christopher-elmendorf,reference,Elmendorf biographical information
281,Lawyering Cities Into Housing Shortages (PDF),"Elmendorf C.S.",2024,NYU Environmental Law Journal,https://nyuelj.org/wp-content/uploads/2024/09/Elmendorf-Lawyering-Cities-Into-Housing-Shortages.pdf,legal-sf,Published version of SF discretionary-review critique
282,The Inequalities of California's Environmental Quality Act,"McKeen A.",2022,The Regulatory Review,https://www.theregreview.org/2022/05/05/mckeen-inequalities-of-californias-environmental-quality-act/,legal-california,Analysis of CEQA distributional consequences
283,CEQA Targeted Reforms for California's Core Environmental Law,"Little Hoover Commission",2022,Little Hoover Commission Report,https://lhc.ca.gov/report/california-environmental-quality-act-ceqa/,legal-california,State commission report on CEQA reform
284,CEQA Portal 2023 Published CEQA Cases,"California Association of Environmental Professionals",2023,CEQA Portal,https://www.califaep.org/ceqa_portal_updates_2023.php,legal-california,Recent CEQA case tracker
285,CEQA Roll Back,"LAist",2025,LAist News,https://laist.com/brief/news/climate-environment/one-of-the-biggest-obstacles-to-building-new-housing-in-california-has-now-vanished,news-california,Popular-press on 2025 CEQA changes
286,Real Estate Tax Incentive Programs Overview,"Herrick Feinstein LLP",2024,Law Firm Overview,https://www.herrick.com/real-estate-tax-incentive-programs/,reference-legal,421a/485x/467m overview
287,NYC 421-a Tax Exemption Wikipedia,"Wikipedia contributors",2024,Wikipedia,https://en.wikipedia.org/wiki/421-a_tax_exemption,reference-legal,Reference overview of 421-a
288,Understanding the Basics of the 421-a Tax Abatement in New York City,"TheGuarantors",2023,Industry Guide,https://www.theguarantors.com/blog/owners-and-operators/understanding-the-basics-of-the-421-a-tax-abatement-in-new-york-city,reference-legal,Industry explanation of 421-a
289,421a Tax Abatement NYC Guide,"PropertyClub",2024,Industry Guide,https://propertyclub.nyc/article/a-guide-to-the-nyc-421-a-tax-abatement,reference-legal,Consumer guide to 421-a
290,NYC Real Estate Tax Incentives 421a 485x and 467m Housing Programs,"Citrin Cooperman",2024,Client Alert,https://www.citrincooperman.com/In-Focus-Resource-Center/NYC-Real-Estate-Tax-Incentives-421a-485x-and-467m-Housing-Programs,reference-legal,Accounting firm comparison of NYC incentives
291,Permits in My Neighborhood,"SF Planning",2024,SF Planning Resource,https://sfplanning.org/resource/permits-my-neighborhood,reference-city,SF neighborhood-level permit lookups
292,Permit Complaint Tracking System,"San Francisco DBI",2024,SF DBI,https://dbiweb02.sfgov.org/dbipts/,reference-city,SF DBI permit and complaint tracker
293,Building Permit Status SFGOV,"San Francisco DBI",2024,SFGov,https://www.sfgov.org/services/building-permit-status,reference-city,SF permit status lookup
294,Home Page LADBS,"LADBS",2024,LADBS Home,https://dbs.lacity.gov/,reference-city,LA Department of Building and Safety home
295,Express Permit LADBS,"LADBS",2024,LADBS Permit Portal,https://permitla.lacitydbs.org/,reference-city,LA express permit portal
296,Plan Check and Permit Services LADBS,"LADBS",2024,LADBS Services,https://www.ladbs.org/services/core-services/plan-check-permit,reference-city,LA plan-check services
297,Services LADBS,"LADBS",2024,LADBS Services Hub,https://dbs.lacity.gov/services,reference-city,LA full services listing
298,Building Permit Application Status Chicago,"City of Chicago",2024,Chicago Portal,https://webapps1.chicago.gov/buildingpermit/,reference-city,Chicago permit status lookup
299,Inspection Permitting and Licensing Portal Chicago,"City of Chicago",2024,Chicago Portal,https://ipi.cityofchicago.org/,reference-city,Chicago centralised permit portal
300,Chicago Building Permits Browser,"Chicago Cityscape",2024,Chicago Cityscape,https://www.chicagocityscape.com/permits.php,reference-city,Third-party permit browser
301,Permits by MSA Monthly BPS,"US Census Bureau",2024,BPS Data,https://www.census.gov/construction/bps/msamonthly.html,data-source,Monthly MSA permit totals
302,BPS About,"US Census Bureau",2024,BPS Overview,https://www.census.gov/construction/bps/about.html,data-source,Overview of Building Permits Survey
303,BPS United States Permits,"US Census Bureau",2024,BPS Data,https://www.census.gov/construction/bps/uspermits.html,data-source,National-level BPS totals
304,BPS Permits by State Annual,"US Census Bureau",2024,BPS Data,https://www.census.gov/construction/bps/stateannual.html,data-source,State-level annual totals
305,BPS Permits by State Monthly,"US Census Bureau",2024,BPS Data,https://www.census.gov/construction/bps/statemonthly.html,data-source,State-level monthly totals
306,BPS Permits by MSA Annual,"US Census Bureau",2024,BPS Data,https://www.census.gov/construction/bps/msaannual.html,data-source,MSA-level annual totals
307,BPS Announcements,"US Census Bureau",2024,BPS Announcements,https://www.census.gov/construction/bps/announcements.html,data-source,Methodology updates
308,Texas Real Estate Research Center Permits,"TRERC",2024,TRERC Data,https://trerc.tamu.edu/data/building-permits/,data-source,Aggregated BPS data for Texas MSAs
309,Chicago Building Permits Dataset,"City of Chicago",2024,Chicago Data Portal,https://data.cityofchicago.org/Buildings/Building-Permits/ydr8-5enu,data-source,Complete Chicago permit history
310,Boston Construction Permits Dataset,"Analyze Boston",2024,Analyze Boston,https://data.boston.gov/dataset/approved-building-permits,data-source,Boston approved permits
311,Seattle Building Permits Dataset,"City of Seattle",2024,Seattle GeoData,https://data.seattle.gov/Permitting/Building-Permits/76t5-zqzr,data-source,Seattle historic permits
312,Portland Development Permits,"City of Portland",2024,PortlandMaps,https://www.portlandmaps.com/bps/permits/,data-source,Portland permit lookup
313,Philadelphia Licenses and Inspections Building Permits,"City of Philadelphia",2024,Philadelphia OpenData,https://data.phila.gov/visualizations/building-permits-issued,data-source,Philadelphia L and I permits
314,Denver Building Permit Records,"City of Denver",2024,Denver Open Data,https://opendata-geospatialdenver.hub.arcgis.com/datasets/building-permits,data-source,Denver permit dataset
315,Minneapolis Building Permits,"City of Minneapolis",2024,Minneapolis Open Data,https://opendata.minneapolismn.gov/datasets/building-permits,data-source,Minneapolis permit dataset
316,Washington DC Building Permits,"DC DCRA",2024,Open Data DC,https://opendata.dc.gov/datasets/building-permits,data-source,DC building permits
317,"Process Mining Event Logs Resources",IEEE Task Force on Process Mining,2024,TF-PM Resource Page,https://www.tf-pm.org/resources/logs,data-source,Curated list of process-mining event log datasets including building permits
318,Event Graph of BPI Challenge 2015,"van Dongen B.F.",2015,4TU.ResearchData,10.4121/14169569,data-source,Graph-structured version of BPIC 2015 event log
319,Process and Deviation Exploration with Inductive Visual Miner,"Leemans S.J.J.; Fahland D.; van der Aalst W.M.P.",2014,BPM Workshops 2014 LNBIP 202 46-50,10.1007/978-3-319-15895-2_4,method-process-mining,Inductive visual miner interactive exploration
320,A Fresh Look at Precision in Process Conformance,"Muñoz-Gama J.; Carmona J.",2010,BPM 2010 LNCS 6336 211-226,10.1007/978-3-642-15618-2_16,method-process-mining,Precision measurement for conformance checking
321,Evaluating Conformance Measures in Process Mining Using Conformance Propositions,"Polyvyanyy A.; Solti A.; Weidlich M.; Ciccio C.D.; Mendling J.",2019,Transactions on Petri Nets and Other Models of Concurrency XIV LNCS 11790 192-221,10.1007/978-3-662-60651-3_8,method-process-mining,Formal evaluation of conformance measures
322,Process Mining Meets Visual Analytics: The Case of Conformance Checking,"van Eck M.L.; Lu X.; Leemans S.J.J.; van der Aalst W.M.P.",2017,HICSS 2017,https://madoc.bib.uni-mannheim.de/63471/1/0531.pdf,method-process-mining,Visual analytics for conformance checking
323,Parallel Flexible Heuristic Miner for Process Discovery,"Syafruddin N.; Barkah D.",2023,SN Computer Science 4(5) 550,10.1007/s42979-023-01948-1,method-process-mining,Parallel implementation of FHM
324,Background information on the Heuristics miner,"ProM Tools",2024,ProM Tools Documentation,https://promtools.org/background-information-on-the-heuristics-miner/,reference-tool,ProM toolkit reference for heuristics miner
325,Discovery of Process Models with the Heuristics Miner R package,"heuristicsmineR",2024,CRAN,https://bupaverse.github.io/heuristicsmineR/,tool,R implementation of heuristics miner
326,ProM Tools Process Mining Toolkit,"ProM Tools",2024,ProM Tools,https://promtools.org/,tool,Main process-mining framework
327,bupaverse Process Mining in R,"bupaverse",2024,bupaverse,https://bupaverse.github.io/,tool,R ecosystem for process mining including bupaR
328,pm4py Python Process Mining,"Berti A.; van Zelst S.; van der Aalst W.M.P.",2023,pm4py Project,https://pm4py.fit.fraunhofer.de/,tool,Python process-mining library supporting inductive miner
329,Process Mining at Celonis,"Celonis",2024,Celonis Platform,https://www.celonis.com/process-mining/,tool,Commercial process-mining platform
330,Kleinrock Queueing Systems Volume 2 Computer Applications,"Kleinrock L.",1976,Wiley-Interscience,ISBN 0471491101,textbook,Second volume of Kleinrock's queueing-theory set applications
331,Applied Survival Analysis (2nd ed),"Hosmer D.W.; Lemeshow S.; May S.",2008,Wiley,10.1002/9780470258019,textbook,Applied survival-analysis textbook with worked examples
332,Modelling Survival Data in Medical Research,"Collett D.",2015,Chapman and Hall / CRC,ISBN 978-1439856789,textbook,Canonical survival textbook in medical statistics
333,Applied Longitudinal Analysis (2nd ed),"Fitzmaurice G.M.; Laird N.M.; Ware J.H.",2011,Wiley,ISBN 978-0470380277,textbook,Longitudinal data analysis including time-to-event
334,Regression Modeling Strategies,"Harrell F.E.",2015,Springer,10.1007/978-3-319-19425-7,textbook,Modern regression including survival models
335,Fast Track Residential Plan Review Austin,"City of Austin",2024,AustinTexas.gov Residential,https://www.austintexas.gov/page/residential-plan-review,reference-city,Austin fast track rules for residential
336,Austin Express Permits,"City of Austin",2024,Austin Development Services,https://www.austintexas.gov/development-services/express-permits,reference-city,Austin express-permit eligible work
337,Austin Commercial Plan Review,"City of Austin",2024,AustinTexas.gov Commercial,https://www.austintexas.gov/page/commercial-plan-review,reference-city,Austin commercial plan review process
338,Austin Permit Place Review Times and Process,"Permit Place",2024,Industry Guide,https://permitplace.com/city/austin-tx-building-permits/,reference-city,Industry summary of Austin review cycle times
339,Chicago Building Permits Streamlined Guide,"Hutter Architects",2025,Industry Guide,https://hutterarchitects.com/chicago-building-permits/,reference-city,Industry Chicago permit walkthrough
340,Find Building Data NYC DOB,"NYC DOB",2024,NYC DOB Data Page,https://www.nyc.gov/site/buildings/dob/find-building-data.page,reference-city,NYC building data hub
341,NYC Department of Buildings Home,"NYC DOB",2024,NYC DOB Home,https://www.nyc.gov/site/buildings/index.page,reference-city,NYC DOB main page
342,How New York's Next Mayor can Shape Land Use and Planning,"Gould Ellen I.; Kazis N.",2021,NYU Furman Center Report,https://furmancenter.org/files/publications/302.6_Who_Decides_-_Final.pdf,policy-nyc,Furman analysis of mayoral authority over land use
343,What happens to housing supply when zoning is relaxed: A case study of Minneapolis 2040,"Kuhlmann D.",2021,Urban Studies 58(10) 2112-2130,10.1177/0042098020936434,empirical-minneapolis,Post-Minneapolis-2040 supply effects
344,Reforming Zoning Neighborhood Acceptance and Housing Affordability in Minneapolis,"Kuhlmann D.",2023,Housing Policy Debate,10.1080/10511482.2023.2183389,empirical-minneapolis,Extended Minneapolis zoning reform evaluation
345,Minneapolis 2040 Comprehensive Plan,"City of Minneapolis",2019,City Plan Document,https://minneapolis2040.com/,reference-city,Minneapolis primary planning document eliminating single-family zoning
346,Oregon House Bill 2001 Middle Housing Law,"State of Oregon",2019,Oregon Legislature,https://olis.oregonlegislature.gov/liz/2019R1/Measures/Overview/HB2001,reference-legal,First statewide middle-housing law
347,The Anatomy of a Land Use Approval Delay Study: Los Angeles 2015-2020,"Monkkonen P.; Lens M.; Manville M.",2019,UCLA Luskin Center,https://www.lewis.ucla.edu/wp-content/uploads/sites/2/2019/07/LA-Approval-Delays-Report.pdf,empirical-la,LA project-level entitlement delay data
348,New Ideas from California Housing Research,"Monkkonen P.",2019,UCLA Presentation,https://luskin.ucla.edu/sites/default/files/Monkkonen%20New%20Ideas%20from%20CA%20Housing%20Research.pdf,presentation,Presentation summary of LA and Bay Area permit timing findings
349,An Examination of Multifamily Housing Production Time in California,"Mawhorter S.",2021,Terner Center Working Paper,https://ternercenter.berkeley.edu/wp-content/uploads/2021/01/Housing-Production-Time.pdf,empirical-california,California multifamily housing production time analysis
350,Multifamily Development from Proposal to Occupancy,"Mawhorter S.",2021,Terner Center Project,https://ternercenter.berkeley.edu/research-and-policy/multifamily-development-from-proposal-to-occupancy/,empirical-california,Project-level timing from idea to TCO
